#layer,exec_idx,name,op,bytes,last_use
28,4,node_2517,GET_ROWS,32,5
28,5,ffn_moe_down_scaled-28,MUL,90112,6
28,6,ffn_moe_weighted-28,MUL,90112,13
28,7,node_2528,ADD,11264,8
28,8,node_2529,ADD,11264,9
28,9,node_2530,ADD,11264,10
28,10,node_2531,ADD,11264,11
28,11,node_2532,ADD,11264,12
28,12,node_2533,ADD,11264,13
28,13,ffn_moe_out-28,ADD,11264,-1
29,0,ffn_moe_gate_up-29,MUL_MAT_ID,45056,1
29,1,ffn_moe_geglu-29,GLU,22528,2
29,2,node_2601,MUL_MAT_ID,90112,5
29,3,node_2603,REPEAT,512,4
29,4,node_2604,GET_ROWS,32,5
29,5,ffn_moe_down_scaled-29,MUL,90112,6
29,6,ffn_moe_weighted-29,MUL,90112,13
29,7,node_2615,ADD,11264,8
29,8,node_2616,ADD,11264,9
29,9,node_2617,ADD,11264,10
29,10,node_2618,ADD,11264,11
29,11,node_2619,ADD,11264,12
29,12,node_2620,ADD,11264,13
29,13,ffn_moe_out-29,ADD,11264,-1
